x,y,angle
573,89,240,573,89,240,573,89,240
573,89,233
571,88,225
571,89,210
571,89,191
-1,-1,-1
571,91,166
573,92,161
573,93,135
574,93,117,573,89,120
-1,-1,-1
572,97,117
568,103,120
565,110,117
-1,-1,-1
553,132,117
-1,-1,-1
546,145,112
542,152,112
539,160,117
535,167,117
531,174,120
-1,-1,-1
523,188,112
519,195,112
515,202,112
512,209,120
-1,-1,-1
504,223,120
501,229,120
501,229,117,503,211,120
-1,-1,-1
501,229,120
-1,-1,-1
498,234,117
-1,-1,-1
491,248,117
487,255,117
483,262,117
479,268,112
475,276,117
472,283,117
468,290,117
-1,-1,-1
460,304,112
456,311,112
453,317,120,457,292,120
-1,-1,-1
452,319,128
451,318,142
450,318,158
449,317,176
449,316,191,457,292,187
449,315,186
-1,-1,-1
439,314,191
432,313,191
424,312,191
415,311,191
407,310,186
399,309,191
-1,-1,-1
383,307,182
375,306,186
367,305,196
359,304,196
351,303,199
343,302,191
-1,-1,-1
276,293,196
268,292,213
-1,-1,-1
213,284,191
206,283,191
198,282,186
-1,-1,-1
167,278,186
-1,-1,-1
151,276,186
143,275,186
135,274,197
127,273,196
117,271,179
112,271,205
-1,-1,-1
97,269,182
-1,-1,-1
71,265,176
63,264,186
-1,-1,-1
48,262,191
-1,-1,-1
17,258,191
-1,-1,-1,48,242,187
12,253,300,48,242,301
15,249,300
18,244,300
22,237,308
27,231,310
33,222,300
38,215,308
-1,-1,-1
51,196,315
55,190,300
56,187,315,85,179,301
-1,-1,-1
56,187,289
55,187,276
-1,-1,-1
53,188,256,85,179,242
53,188,251
-1,-1,-1
52,185,248
50,180,251
47,173,245
44,165,248
41,158,248
38,151,242
35,143,251
32,136,239
29,126,248
26,119,248
23,112,256
20,104,248
17,97,248
15,90,243
-1,-1,-1,29,73,242,29,73,275
12,51,281
14,41,281
15,36,276,32,40,275
15,36,281
14,36,272
14,36,254
13,37,240
12,37,225
12,38,210
12,39,196
12,40,180
12,41,161
-1,-1,-1
14,43,117
15,43,104
16,43,90
17,42,71
17,42,75,32,40,63
17,42,71
18,43,63
20,50,75
-1,-1,-1
22,55,67
26,64,71
27,69,67
31,78,71
34,86,63
36,93,73
39,100,71
41,105,71
45,115,71
47,122,71
50,129,68
53,136,71
